Team1,Team1Score,Team2,Team2Score
Memphis Grizzlies,109,Atlanta Hawks,112
Oklahoma City Thunder,123,New Jersey Nets,120
Washington Wizards,108,Toronto Raptors,127
Portland Trail Blazers,95,Boston Celtics,99
Detroit Pistons,72,Miami Heat,97
Orlando Magic,107,Chicago Bulls,78
Charlotte Bobcats,73,New Orleans Hornets,89
Minnesota Timberwolves,86,Dallas Mavericks,100
Los Angeles Lakers,99,Houston Rockets,109
Milwaukee Bucks,94,Denver Nuggets,105
Indiana Pacers,88,Utah Jazz,110
San Antonio Spurs,85,Los Angeles Clippers,90
Miami Heat,118,Cleveland Cavaliers,90
Phoenix Suns,107,Golden State Warriors,101
New Jersey Nets,84,Charlotte Bobcats,91
Oklahoma City Thunder,99,Toronto Raptors,111
Portland Trail Blazers,79,Washington Wizards,83
Philadelphia 76ers,88,Atlanta Hawks,93
Orlando Magic,104,Detroit Pistons,91
Chicago Bulls,92,Boston Celtics,104
Houston Rockets,127,Memphis Grizzlies,111
New York Knicks,100,New Orleans Hornets,92
Minnesota Timberwolves,101,San Antonio Spurs,107
Los Angeles Clippers,104,Denver Nuggets,109
Indiana Pacers,97,Phoenix Suns,105
Sacramento Kings,80,Los Angeles Lakers,113
Dallas Mavericks,93,Utah Jazz,81
Atlanta Hawks,77,Miami Heat,89
Charlotte Bobcats,91,Philadelphia 76ers,109
Houston Rockets,116,Chicago Bulls,119
Cleveland Cavaliers,95,Minnesota Timberwolves,129
Orlando Magic,85,Milwaukee Bucks,96
Dallas Mavericks,105,Sacramento Kings,103
Boston Celtics,100,New Jersey Nets,75
New York Knicks,116,Toronto Raptors,99
Cleveland Cavaliers,92,Detroit Pistons,102
Golden State Warriors,109,Oklahoma City Thunder,114
New Orleans Hornets,84,San Antonio Spurs,109
Memphis Grizzlies,107,Denver Nuggets,108
Washington Wizards,108,Phoenix Suns,125
Los Angeles Clippers,91,Portland Trail Blazers,100
Toronto Raptors,100,Indiana Pacers,124
Atlanta Hawks,80,Orlando Magic,74
Minnesota Timberwolves,114,New York Knicks,121
Oklahoma City Thunder,90,Chicago Bulls,99
Miami Heat,88,Milwaukee Bucks,78
Memphis Grizzlies,85,Utah Jazz,94
Sacramento Kings,91,Los Angeles Clippers,98
New Jersey Nets,101,Atlanta Hawks,116
Denver Nuggets,98,Charlotte Bobcats,100
Cleveland Cavaliers,97,Philadelphia 76ers,117
Golden State Warriors,100,Dallas Mavericks,105
Detroit Pistons,83,Houston Rockets,97
Phoenix Suns,99,Portland Trail Blazers,106
Washington Wizards,108,Los Angeles Lakers,115
Denver Nuggets,89,Boston Celtics,105
Chicago Bulls,88,Cleveland Cavaliers,83
Toronto Raptors,110,New York Knicks,113
Indiana Pacers,95,Milwaukee Bucks,97
Oklahoma City Thunder,111,Minnesota Timberwolves,103
Detroit Pistons,74,New Orleans Hornets,93
Golden State Warriors,94,San Antonio Spurs,111
Memphis Grizzlies,104,Phoenix Suns,98
Miami Heat,111,Utah Jazz,98
Washington Wizards,91,Sacramento Kings,116
Los Angeles Lakers,87,Los Angeles Clippers,86
Boston Celtics,102,Philadelphia 76ers,101
New Jersey Nets,89,Dallas Mavericks,102
Orlando Magic,83,Portland Trail Blazers,97
Charlotte Bobcats,92,Indiana Pacers,100
Denver Nuggets,123,Toronto Raptors,116
New York Knicks,101,Washington Wizards,95
Los Angeles Lakers,84,Chicago Bulls,88
Detroit Pistons,99,Minnesota Timberwolves,109
Oklahoma City Thunder,97,New Orleans Hornets,92
Houston Rockets,91,Milwaukee Bucks,97
Atlanta Hawks,92,San Antonio Spurs,108
Portland Trail Blazers,101,Phoenix Suns,94
Orlando Magic,105,Utah Jazz,117
Miami Heat,106,Golden State Warriors,84
Memphis Grizzlies,84,Los Angeles Clippers,83
Indiana Pacers,83,Atlanta Hawks,97
Boston Celtics,93,Charlotte Bobcats,62
Toronto Raptors,120,Detroit Pistons,116
Minnesota Timberwolves,82,Chicago Bulls,113
Utah Jazz,97,Dallas Mavericks,103
