Team1,Team1Score,Team2,Team2Score,Team1Win,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,"Team1AST
RATIO",Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,"Team2AST
RATIO",Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
Sacramento Kings,66,Detroit Pistons,95,0,102.2,102.0,0.2,56.9,1.38,15.8,36.6,67.8,51.7,16.1,46.2,50.7,92.46,49.2,110.5,100.2,10.3,52.5,1.56,15.9,32.4,68.8,50.6,13.9,52.2,55.7,85.11,54.8
Portland Trail Blazers,70,Golden State Warriors,98,0,105.3,104.8,0.5,56.4,1.27,15.6,37.2,68.9,52.5,17.2,48.8,53.0,91.23,49.1,103.9,105.1,-1.2,60.7,1.22,16.1,36.6,63.9,50.2,18.5,47.9,53.4,93.58,48.3
Denver Nuggets,96,Los Angeles Lakers,104,0,104.1,108.7,-4.6,68.0,1.64,18.4,31.4,67.6,49.5,15.8,48.5,53.0,92.34,46.9,106.9,103.2,3.7,62.2,1.58,17.6,34.6,65.5,50.1,15.7,50.6,54.0,94.42,53.9
Utah Jazz,96,Seattle SuperSonics,90,1,109.8,101.0,8.9,70.6,1.67,20.4,31.0,69.0,51.0,17.3,52.9,57.8,90.63,57.9,110.5,103.6,6.8,65.0,1.51,18.1,37.4,67.8,52.6,17.2,51.8,56.3,91.64,55.3
Dallas Mavericks,108,Orlando Magic,102,1,101.8,108.0,-6.2,61.4,1.41,17.4,30.0,64.8,47.1,17.1,49.3,52.6,91.12,45.7,94.7,106.5,-11.8,62.0,1.14,15.8,32.3,65.0,47.6,19.1,45.1,49.1,87.93,40.1
Houston Rockets,89,Toronto Raptors,100,0,107.0,104.2,2.8,68.8,1.52,19.2,31.1,67.1,50.4,17.8,52.3,56.2,91.05,53.4,98.7,104.3,-5.6,59.0,1.19,15.5,35.0,65.8,50.4,18.2,46.4,50.4,89.86,45.5
Charlotte Hornets,97,Utah Jazz,107,0,103.3,104.8,-1.5,63.3,1.48,17.8,34.0,64.0,49.1,17.1,48.4,52.2,88.89,49.0,109.8,101.0,8.9,70.6,1.67,20.4,31.0,69.0,51.0,17.3,52.9,57.8,90.63,57.9
Boston Celtics,95,Atlanta Hawks,105,0,100.9,108.1,-7.2,54.8,1.26,15.7,30.7,63.3,46.9,16.9,48.0,51.9,93.91,43.8,109.2,100.6,8.6,54.0,1.33,15.4,34.2,64.6,50.0,16.0,50.5,54.9,89.23,55.2
Toronto Raptors,74,Cleveland Cavaliers,93,0,98.7,104.3,-5.6,59.0,1.19,15.5,35.0,65.8,50.4,18.2,46.4,50.4,89.86,45.5,109.3,101.6,7.8,68.8,1.67,19.5,33.7,66.8,50.6,16.7,52.5,56.9,84.6,56.5
Denver Nuggets,99,Golden State Warriors,114,0,104.1,108.7,-4.6,68.0,1.64,18.4,31.4,67.6,49.5,15.8,48.5,53.0,92.34,46.9,103.9,105.1,-1.2,60.7,1.22,16.1,36.6,63.9,50.2,18.5,47.9,53.4,93.58,48.3
Charlotte Hornets,89,Los Angeles Clippers,96,0,103.3,104.8,-1.5,63.3,1.48,17.8,34.0,64.0,49.1,17.1,48.4,52.2,88.89,49.0,104.1,108.6,-4.6,54.2,1.17,15.5,32.2,63.9,48.0,18.0,49.4,54.0,90.9,46.2
Seattle SuperSonics,106,Los Angeles Lakers,110,0,110.5,103.6,6.8,65.0,1.51,18.1,37.4,67.8,52.6,17.2,51.8,56.3,91.64,55.3,106.9,103.2,3.7,62.2,1.58,17.6,34.6,65.5,50.1,15.7,50.6,54.0,94.42,53.9
Chicago Bulls,107,Milwaukee Bucks,104,1,111.0,101.5,9.5,61.9,1.95,18.1,38.2,65.1,51.3,13.6,49.4,53.0,90.59,56.5,108.9,106.3,2.5,59.2,1.38,17.9,35.7,67.3,52.4,18.2,53.0,56.6,90.18,52.3
Sacramento Kings,96,Minnesota Timberwolves,89,1,102.2,102.0,0.2,56.9,1.38,15.8,36.6,67.8,51.7,16.1,46.2,50.7,92.46,49.2,104.4,111.5,-7.2,64.3,1.43,17.2,35.8,62.6,48.8,17.1,47.1,52.5,91.2,45.6
Miami Heat,99,New York Knicks,75,1,104.1,96.9,7.2,54.7,1.13,14.7,35.4,67.3,51.5,17.9,48.1,52.6,85.93,52.8,100.9,97.6,3.3,64.1,1.23,17.4,33.5,68.8,51.5,19.8,48.8,52.7,91.17,53.6
Indiana Pacers,98,Portland Trail Blazers,93,1,101.9,98.6,3.4,65.2,1.33,17.1,34.6,65.4,50.7,18.0,47.6,52.4,90.04,53.4,105.3,104.8,0.5,56.4,1.27,15.6,37.2,68.9,52.5,17.2,48.8,53.0,91.23,49.1
Atlanta Hawks,90,Detroit Pistons,100,0,109.2,100.6,8.6,54.0,1.33,15.4,34.2,64.6,50.0,16.0,50.5,54.9,89.23,55.2,110.5,100.2,10.3,52.5,1.56,15.9,32.4,68.8,50.6,13.9,52.2,55.7,85.11,54.8
Boston Celtics,89,Houston Rockets,94,0,100.9,108.1,-7.2,54.8,1.26,15.7,30.7,63.3,46.9,16.9,48.0,51.9,93.91,43.8,107.0,104.2,2.8,68.8,1.52,19.2,31.1,67.1,50.4,17.8,52.3,56.2,91.05,53.4
Dallas Mavericks,79,Miami Heat,101,0,101.8,108.0,-6.2,61.4,1.41,17.4,30.0,64.8,47.1,17.1,49.3,52.6,91.12,45.7,104.1,96.9,7.2,54.7,1.13,14.7,35.4,67.3,51.5,17.9,48.1,52.6,85.93,52.8
