Team1,Team1Score,Team2,Team2Score,Team1Win,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,"Team1AST
RATIO",Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,"Team2AST
RATIO",Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
Miami Heat,71,Cleveland Cavaliers,66,1,109.2,100.3,8.9,66.0,1.48,18.2,30.8,66.5,49.7,17.2,52.2,56.8,91.35,56.3,103.1,100.0,3.1,63.7,1.44,17.6,33.1,69.5,51.6,17.3,49.1,53.3,82.63,52.0
Utah Jazz,97,Dallas Mavericks,100,0,114.8,105.1,9.7,73.2,1.77,21.2,33.9,68.8,52.2,17.3,54.2,59.4,92.82,60.1,103.3,107.0,-3.6,58.2,1.33,16.1,35.1,67.9,51.1,16.9,47.8,52.1,89.28,46.3
Sacramento Kings,113,Denver Nuggets,107,1,106.3,109.9,-3.6,61.4,1.56,17.3,35.8,68.5,51.6,15.9,49.4,52.9,93.33,47.6,106.5,113.5,-7.0,63.3,1.38,17.5,33.3,64.6,49.6,17.9,49.7,54.6,93.77,47.3
Golden State Warriors,98,Los Angeles Clippers,110,0,103.3,113.6,-10.3,59.0,1.3,16.2,34.3,65.8,49.7,17.4,48.4,52.8,93.59,44.5,103.3,101.4,1.9,54.7,1.13,15.9,33.9,64.8,50.0,19.4,50.3,53.7,94.13,50.8
Philadelphia 76ers,109,Milwaukee Bucks,100,1,104.5,108.5,-4.0,55.6,1.28,15.4,36.4,66.2,51.4,16.8,47.6,52.4,94.54,47.7,101.8,106.9,-5.1,57.0,1.22,15.7,32.9,66.0,49.3,17.7,48.0,52.6,89.71,45.6
Detroit Pistons,90,New Jersey Nets,75,1,109.5,102.9,6.6,57.9,1.6,17.3,27.6,68.6,49.2,14.7,53.7,57.4,87.57,54.2,106.5,108.6,-2.1,58.2,1.71,16.3,35.5,68.9,51.0,13.7,46.8,51.1,92.68,47.2
Phoenix Suns,86,Toronto Raptors,110,0,111.7,107.9,3.7,67.1,1.8,19.7,33.1,65.6,49.8,15.6,52.8,56.8,92.33,52.5,108.8,107.8,0.9,60.7,1.45,17.6,34.4,65.2,49.4,17.1,51.9,55.3,93.13,50.1
Vancouver Grizzlies,102,Boston Celtics,92,1,104.6,108.9,-4.2,66.6,1.51,18.7,31.6,61.0,47.0,17.5,50.0,54.0,90.08,48.1,106.1,114.7,-8.6,59.2,1.34,16.1,34.7,65.7,48.5,16.8,48.0,53.2,98.16,41.6
Atlanta Hawks,104,Denver Nuggets,115,0,107.5,103.8,3.8,55.8,1.49,16.3,33.7,65.2,49.1,15.4,49.7,52.9,88.15,51.9,106.5,113.5,-7.0,63.3,1.38,17.5,33.3,64.6,49.6,17.9,49.7,54.6,93.77,47.3
Phoenix Suns,106,Detroit Pistons,97,1,111.7,107.9,3.7,67.1,1.8,19.7,33.1,65.6,49.8,15.6,52.8,56.8,92.33,52.5,109.5,102.9,6.6,57.9,1.6,17.3,27.6,68.6,49.2,14.7,53.7,57.4,87.57,54.2
New Jersey Nets,90,Indiana Pacers,92,0,106.5,108.6,-2.1,58.2,1.71,16.3,35.5,68.9,51.0,13.7,46.8,51.1,92.68,47.2,99.4,102.3,-2.9,62.6,1.2,16.1,33.0,70.0,50.6,18.6,45.8,51.1,91.69,45.9
Washington Bullets,99,Los Angeles Lakers,129,0,103.2,110.4,-7.2,59.6,1.44,17.5,30.1,71.7,50.0,16.7,49.4,53.2,94.25,45.7,108.1,105.8,2.3,58.8,1.66,16.7,30.3,69.8,49.6,13.8,49.0,54.2,93.99,51.0
Cleveland Cavaliers,76,Miami Heat,80,0,103.1,100.0,3.1,63.7,1.44,17.6,33.1,69.5,51.6,17.3,49.1,53.3,82.63,52.0,109.2,100.3,8.9,66.0,1.48,18.2,30.8,66.5,49.7,17.2,52.2,56.8,91.35,56.3
Portland Trail Blazers,102,Minnesota Timberwolves,103,0,106.6,111.4,-4.8,51.9,1.29,14.9,34.3,65.9,49.6,15.9,48.7,52.9,91.91,45.1,104.3,100.6,3.7,65.0,1.62,18.5,29.8,61.9,47.4,15.9,49.7,54.3,92.7,56.1
Charlotte Hornets,99,New York Knicks,93,1,117.6,109.0,8.6,68.3,2.03,20.9,30.6,64.5,48.7,14.8,55.4,59.7,90.62,56.9,103.5,99.7,3.8,61.0,1.19,16.4,33.5,69.2,51.9,19.1,49.6,54.1,92.61,52.9
Houston Rockets,90,Orlando Magic,103,0,106.0,105.8,0.2,65.0,1.35,18.5,30.1,70.7,51.3,18.9,52.6,56.5,91.79,49.9,109.8,104.7,5.0,62.2,1.58,17.9,33.6,61.9,47.8,16.0,52.0,55.6,90.71,52.8
Chicago Bulls,91,Seattle SuperSonics,84,1,115.2,104.8,10.4,67.4,2.0,19.9,39.7,66.3,53.0,14.9,51.7,55.2,89.75,57.6,104.6,97.6,7.0,64.0,1.38,17.3,31.4,69.8,50.3,17.4,48.9,54.5,88.44,54.5
Sacramento Kings,85,San Antonio Spurs,79,1,106.3,109.9,-3.6,61.4,1.56,17.3,35.8,68.5,51.6,15.9,49.4,52.9,93.33,47.6,105.3,118.7,-13.5,58.7,1.53,16.5,37.3,64.7,50.0,15.5,46.7,50.5,86.71,41.3
Boston Celtics,114,Toronto Raptors,102,1,106.1,114.7,-8.6,59.2,1.34,16.1,34.7,65.7,48.5,16.8,48.0,53.2,98.16,41.6,108.8,107.8,0.9,60.7,1.45,17.6,34.4,65.2,49.4,17.1,51.9,55.3,93.13,50.1
