Team1,Team1Score,Team2,Team2Score,Team1Win,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,"Team1AST
RATIO",Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,"Team2AST
RATIO",Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
Chicago Bulls,107,Boston Celtics,98,1,110.5,93.3,17.1,64.3,1.83,18.9,34.2,69.5,52.5,14.9,50.9,54.6,93.75,63.7,98.4,105.0,-6.6,57.2,1.15,15.6,32.5,67.4,49.3,18.5,46.6,51.0,96.25,43.7
Dallas Mavericks,92,Denver Nuggets,91,1,100.5,105.7,-5.2,65.4,1.28,17.3,34.2,61.1,47.7,19.0,48.3,52.1,93.82,46.3,96.6,102.0,-5.4,66.6,1.1,16.5,33.8,67.1,50.7,20.9,46.6,51.8,95.11,47.1
Indiana Pacers,89,Detroit Pistons,95,0,99.2,98.4,0.8,59.4,1.14,15.9,31.9,68.8,50.7,19.1,47.9,52.5,91.31,50.4,107.0,100.2,6.8,51.3,1.13,14.4,32.5,67.5,50.3,17.4,50.0,54.8,85.51,52.2
Los Angeles Clippers,97,Golden State Warriors,85,1,96.9,100.0,-3.1,53.5,1.02,14.0,36.3,65.4,50.2,18.8,44.3,49.0,90.88,45.6,105.2,111.7,-6.5,64.7,1.34,17.7,31.7,63.0,47.4,18.3,50.1,55.4,94.26,46.3
Sacramento Kings,85,Houston Rockets,96,0,98.7,107.2,-8.5,59.2,1.22,16.2,31.5,64.7,48.3,18.1,47.1,51.4,91.31,44.3,108.9,99.6,9.3,66.0,1.28,17.7,37.6,69.5,54.0,19.8,51.5,56.2,93.19,56.6
Phoenix Suns,82,Los Angeles Lakers,96,0,97.6,105.8,-8.2,61.4,1.38,16.6,30.6,64.2,46.9,16.6,45.2,49.6,95.07,43.7,104.1,102.1,2.0,64.0,1.31,17.6,33.4,66.4,50.3,18.8,51.1,54.3,90.94,51.3
Atlanta Hawks,81,Miami Heat,94,0,98.3,96.4,1.9,52.7,0.97,13.8,32.7,67.3,50.2,19.1,46.7,51.1,88.13,50.2,102.3,97.7,4.6,58.5,1.18,16.2,33.8,67.4,50.6,19.0,49.8,53.4,90.54,52.2
San Antonio Spurs,78,Minnesota Timberwolves,82,0,98.6,106.6,-8.0,62.5,1.27,16.4,33.9,63.8,48.4,18.1,45.5,49.7,87.5,43.8,97.6,100.3,-2.6,58.2,1.18,15.5,32.8,64.5,48.5,17.9,45.6,50.4,92.62,47.7
Cleveland Cavaliers,90,New Jersey Nets,77,1,101.3,94.6,6.7,60.9,1.36,17.1,31.8,68.9,50.3,17.5,49.6,52.6,86.25,53.9,96.7,102.7,-5.9,57.4,1.01,13.8,40.2,64.4,51.6,19.4,42.5,47.9,96.37,44.7
Washington Bullets,96,Orlando Magic,92,1,99.7,100.9,-1.3,58.1,1.44,16.4,31.1,65.4,47.8,15.8,47.4,50.6,92.85,50.5,99.7,98.4,1.3,55.5,1.05,14.5,39.9,65.4,52.2,19.5,45.4,49.5,89.54,49.6
Milwaukee Bucks,111,Philadelphia 76ers,103,1,104.3,101.6,2.7,50.1,1.2,14.4,34.0,68.8,51.6,16.2,48.0,53.0,91.5,51.5,98.6,101.4,-2.8,61.7,1.02,15.6,36.8,64.4,50.5,21.2,47.4,52.0,97.0,49.4
New York Knicks,107,Toronto Raptors,99,1,103.4,99.7,3.7,62.4,1.06,16.9,35.7,70.0,53.6,22.2,51.5,56.4,93.41,53.6,99.1,103.9,-4.8,53.5,0.95,14.0,35.0,65.5,49.5,20.2,46.9,51.3,92.93,45.0
Seattle SuperSonics,91,Utah Jazz,99,0,108.6,100.1,8.5,65.3,1.51,18.2,32.7,64.7,49.2,16.9,51.6,56.1,93.44,56.5,108.3,99.1,9.2,69.2,1.68,19.4,31.9,68.4,51.2,16.5,50.1,55.1,91.8,59.6
Portland Trail Blazers,114,Vancouver Grizzlies,85,1,105.4,98.7,6.7,58.1,1.13,15.8,39.9,69.4,55.2,19.7,50.1,54.5,91.03,56.1,93.5,105.8,-12.3,65.8,1.37,17.0,29.6,58.9,43.6,17.2,44.8,48.2,90.45,41.1
Detroit Pistons,90,Atlanta Hawks,78,1,107.0,100.2,6.8,51.3,1.13,14.4,32.5,67.5,50.3,17.4,50.0,54.8,85.51,52.2,98.3,96.4,1.9,52.7,0.97,13.8,32.7,67.3,50.2,19.1,46.7,51.1,88.13,50.2
