Team1,Team1Score,Team2,Team2Score,Team1Win,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,"Team1AST
RATIO",Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,"Team2AST
RATIO",Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
Phoenix Suns,92,Charlotte Hornets,126,0,99.4,108.2,-8.8,55.6,1.2,15.0,29.0,73.9,51.0,16.8,47.5,51.6,100.28,44.2,112.4,103.7,8.7,58.0,2.07,17.5,24.2,76.3,50.9,11.3,52.9,57.0,97.06,54.9
Chicago Bulls,111,Miami Heat,129,0,104.6,108.7,-4.1,62.9,1.82,18.3,26.4,72.8,49.3,13.8,49.8,53.2,96.79,47.4,113.7,107.3,6.3,56.3,1.69,17.8,30.8,72.2,52.8,14.6,54.9,58.5,95.67,55.9
Portland Trail Blazers,104,New York Knicks,85,1,108.8,109.9,-1.2,54.2,1.48,15.4,27.5,73.0,50.2,13.9,50.5,55.4,98.59,48.3,102.3,106.0,-3.7,58.4,1.63,16.9,24.6,73.5,49.8,13.9,49.0,52.7,94.23,49.3
Orlando Magic,108,Dallas Mavericks,121,0,105.3,107.6,-2.3,59.5,1.88,17.8,25.7,71.7,48.1,12.9,50.2,53.3,99.03,48.5,108.0,111.2,-3.2,62.0,1.92,18.5,25.7,71.9,48.8,13.3,51.6,55.3,97.18,49.0
Atlanta Hawks,105,Golden State Warriors,109,0,108.0,99.1,8.9,66.8,1.96,19.6,21.9,69.1,47.2,13.7,53.2,56.5,96.81,55.9,114.3,104.1,10.1,68.5,2.04,20.4,27.7,73.6,51.5,14.2,55.5,58.6,98.56,55.9
Brooklyn Nets,101,Los Angeles Lakers,107,0,108.4,115.5,-7.2,59.0,1.63,17.8,29.2,70.6,49.7,15.0,52.1,56.0,96.36,46.6,102.5,110.1,-7.6,50.6,1.41,14.3,27.4,72.5,49.0,13.5,46.6,51.4,95.4,43.6
Chicago Bulls,89,Orlando Magic,102,0,104.6,108.7,-4.1,62.9,1.82,18.3,26.4,72.8,49.3,13.8,49.8,53.2,96.79,47.4,105.3,107.6,-2.3,59.5,1.88,17.8,25.7,71.7,48.1,12.9,50.2,53.3,99.03,48.5
Charlotte Hornets,119,Philadelphia 76ers,99,1,112.4,103.7,8.7,58.0,2.07,17.5,24.2,76.3,50.9,11.3,52.9,57.0,97.06,54.9,100.4,110.6,-10.2,62.0,1.78,16.9,23.5,67.1,44.0,12.9,46.9,50.5,99.17,42.5
Portland Trail Blazers,93,Boston Celtics,116,0,108.8,109.9,-1.2,54.2,1.48,15.4,27.5,73.0,50.2,13.9,50.5,55.4,98.59,48.3,106.2,106.8,-0.6,53.9,1.57,15.3,32.2,68.8,50.2,13.4,47.4,52.2,97.82,49.8
Utah Jazz,94,Toronto Raptors,104,0,105.2,100.7,4.5,56.9,1.33,16.2,31.2,76.1,53.7,16.8,50.8,54.1,91.65,52.7,111.4,106.7,4.7,51.0,1.47,14.7,30.9,74.2,52.8,13.5,50.2,55.4,93.22,52.6
