Team1,Team1Score,Team2,Team2Score
Oklahoma City Thunder,84,San Antonio Spurs,86
Indiana Pacers,89,Charlotte Bobcats,90
Denver Nuggets,89,Orlando Magic,102
Houston Rockets,109,Atlanta Hawks,102
Milwaukee Bucks,99,Boston Celtics,88
Chicago Bulls,115,Cleveland Cavaliers,86
Sacramento Kings,80,Minnesota Timberwolves,92
Utah Jazz,86,New Orleans Hornets,88
Miami Heat,84,New York Knicks,104
Portland Trail Blazers,92,Oklahoma City Thunder,106
Detroit Pistons,89,Phoenix Suns,92
Memphis Grizzlies,104,Golden State Warriors,94
Los Angeles Clippers,105,Los Angeles Lakers,95
Sacramento Kings,98,Indiana Pacers,106
Boston Celtics,89,Washington Wizards,86
Toronto Raptors,100,Brooklyn Nets,107
Denver Nuggets,116,Miami Heat,119
New Orleans Hornets,89,Chicago Bulls,82
Portland Trail Blazers,95,Houston Rockets,85
Charlotte Bobcats,99,Dallas Mavericks,126
Cleveland Cavaliers,102,Milwaukee Bucks,105
Utah Jazz,100,San Antonio Spurs,110
Golden State Warriors,114,Los Angeles Clippers,110
Philadelphia 76ers,84,New York Knicks,100
Phoenix Suns,94,Orlando Magic,115
Minnesota Timberwolves,86,Toronto Raptors,105
Atlanta Hawks,104,Oklahoma City Thunder,95
Detroit Pistons,79,Los Angeles Lakers,108
New York Knicks,110,Philadelphia 76ers,88
Minnesota Timberwolves,107,Brooklyn Nets,96
Phoenix Suns,99,Miami Heat,124
Utah Jazz,94,Memphis Grizzlies,103
Portland Trail Blazers,91,Dallas Mavericks,114
Indiana Pacers,79,San Antonio Spurs,101
Golden State Warriors,92,Sacramento Kings,94
Cleveland Cavaliers,108,Los Angeles Clippers,101
Orlando Magic,93,Chicago Bulls,99
Toronto Raptors,88,Oklahoma City Thunder,108
Detroit Pistons,97,Denver Nuggets,109
Phoenix Suns,117,Charlotte Bobcats,110
Indiana Pacers,86,Atlanta Hawks,89
Washington Wizards,94,Boston Celtics,100
Brooklyn Nets,73,Miami Heat,103
Denver Nuggets,93,Houston Rockets,87
Memphis Grizzlies,108,Milwaukee Bucks,90
Orlando Magic,75,Minnesota Timberwolves,90
Philadelphia 76ers,77,New Orleans Hornets,62
Toronto Raptors,104,Dallas Mavericks,109
Los Angeles Lakers,86,Utah Jazz,95
Detroit Pistons,103,Sacramento Kings,105
Cleveland Cavaliers,96,Golden State Warriors,106
San Antonio Spurs,84,Los Angeles Clippers,106
Oklahoma City Thunder,97,Chicago Bulls,91
Los Angeles Clippers,103,Portland Trail Blazers,90
Brooklyn Nets,107,Orlando Magic,68
Milwaukee Bucks,101,Washington Wizards,91
Miami Heat,95,Atlanta Hawks,89
Philadelphia 76ers,106,Boston Celtics,100
Dallas Mavericks,94,New York Knicks,104
Houston Rockets,85,Memphis Grizzlies,93
Indiana Pacers,94,Minnesota Timberwolves,96
Charlotte Bobcats,99,New Orleans Hornets,107
Detroit Pistons,94,Oklahoma City Thunder,105
Cleveland Cavaliers,105,Phoenix Suns,107
San Antonio Spurs,97,Sacramento Kings,86
Utah Jazz,84,Denver Nuggets,104
