Team1,Team1Score,Team2,Team2Score
Dallas Mavericks,97,Charlotte Hornets,107
Phoenix Suns,94,Cleveland Cavaliers,103
Boston Celtics,87,Detroit Pistons,99
Portland Trail Blazers,112,Houston Rockets,96
New Jersey Nets,91,Miami Heat,101
Toronto Raptors,94,Orlando Magic,96
Los Angeles Lakers,90,Sacramento Kings,83
Utah Jazz,80,San Antonio Spurs,83
Philadelphia 76ers,82,Seattle SuperSonics,96
New York Knicks,92,Washington Bullets,80
Minnesota Timberwolves,94,Boston Celtics,84
Orlando Magic,89,Chicago Bulls,110
San Antonio Spurs,93,Denver Nuggets,91
Philadelphia 76ers,114,Golden State Warriors,122
Phoenix Suns,104,Indiana Pacers,117
Sacramento Kings,93,Los Angeles Lakers,100
Atlanta Hawks,95,New Jersey Nets,85
Seattle SuperSonics,108,Vancouver Grizzlies,94
New York Knicks,71,Atlanta Hawks,88
Washington Bullets,104,Charlotte Hornets,93
Indiana Pacers,91,Cleveland Cavaliers,99
Portland Trail Blazers,110,Dallas Mavericks,104
Toronto Raptors,74,Detroit Pistons,118
Los Angeles Clippers,95,Houston Rockets,91
Minnesota Timberwolves,97,Milwaukee Bucks,91
Miami Heat,80,Utah Jazz,83
Phoenix Suns,102,Boston Celtics,109
Milwaukee Bucks,92,New York Knicks,97
Philadelphia 76ers,106,Sacramento Kings,107
Los Angeles Clippers,93,San Antonio Spurs,84
Los Angeles Lakers,95,Vancouver Grizzlies,82
Utah Jazz,89,Chicago Bulls,102
Charlotte Hornets,109,Golden State Warriors,101
Los Angeles Lakers,84,Portland Trail Blazers,88
Phoenix Suns,103,Atlanta Hawks,105
Milwaukee Bucks,86,Detroit Pistons,76
Cleveland Cavaliers,90,Indiana Pacers,95
Houston Rockets,104,Minnesota Timberwolves,95
San Antonio Spurs,74,New Jersey Nets,90
Dallas Mavericks,72,New York Knicks,102
Philadelphia 76ers,88,Orlando Magic,109
Denver Nuggets,109,Sacramento Kings,96
Miami Heat,85,Seattle SuperSonics,94
Los Angeles Clippers,87,Toronto Raptors,80
San Antonio Spurs,83,Boston Celtics,107
Houston Rockets,81,Cleveland Cavaliers,78
Seattle SuperSonics,109,Denver Nuggets,99
Vancouver Grizzlies,109,Golden State Warriors,95
