Team1,Team1Score,Team2,Team2Score
Boston Celtics,106,Chicago Bulls,111
New York Knicks,94,Cleveland Cavaliers,88
Detroit Pistons,100,Dallas Mavericks,82
Houston Rockets,116,Denver Nuggets,99
Washington Bullets,104,Indiana Pacers,100
Los Angeles Clippers,87,Miami Heat,97
Philadelphia 76ers,105,Orlando Magic,93
Golden State Warriors,91,Portland Trail Blazers,82
Los Angeles Lakers,99,Seattle SuperSonics,97
Milwaukee Bucks,102,Vancouver Grizzlies,91
Cleveland Cavaliers,96,Boston Celtics,87
Atlanta Hawks,84,Charlotte Hornets,95
Denver Nuggets,85,Los Angeles Lakers,110
New Jersey Nets,89,Minnesota Timberwolves,94
Toronto Raptors,112,Philadelphia 76ers,90
Houston Rockets,96,Phoenix Suns,109
Detroit Pistons,99,San Antonio Spurs,92
Sacramento Kings,87,Utah Jazz,118
Dallas Mavericks,90,Golden State Warriors,106
Miami Heat,92,Indiana Pacers,78
Charlotte Hornets,93,New Jersey Nets,87
Los Angeles Clippers,113,Orlando Magic,94
Milwaukee Bucks,80,Seattle SuperSonics,103
Chicago Bulls,102,Washington Bullets,110
Detroit Pistons,89,Atlanta Hawks,103
Los Angeles Clippers,117,Boston Celtics,102
Cleveland Cavaliers,71,Chicago Bulls,84
Phoenix Suns,122,Denver Nuggets,113
San Antonio Spurs,94,Los Angeles Lakers,83
Washington Bullets,95,Minnesota Timberwolves,97
Orlando Magic,93,New York Knicks,84
Indiana Pacers,114,Philadelphia 76ers,103
Milwaukee Bucks,93,Portland Trail Blazers,108
Houston Rockets,108,Sacramento Kings,94
Vancouver Grizzlies,79,Utah Jazz,106
New York Knicks,102,Atlanta Hawks,97
Philadelphia 76ers,113,Charlotte Hornets,115
San Antonio Spurs,103,Golden State Warriors,120
Toronto Raptors,84,Miami Heat,98
Phoenix Suns,99,Portland Trail Blazers,90
Dallas Mavericks,84,Seattle SuperSonics,103
Washington Bullets,120,Boston Celtics,114
Utah Jazz,114,Golden State Warriors,100
Dallas Mavericks,80,Los Angeles Lakers,87
Indiana Pacers,94,Minnesota Timberwolves,83
Los Angeles Clippers,103,New Jersey Nets,96
Chicago Bulls,110,Orlando Magic,94
Seattle SuperSonics,101,Sacramento Kings,113
Houston Rockets,94,Vancouver Grizzlies,85
Philadelphia 76ers,102,Chicago Bulls,128
Charlotte Hornets,110,Cleveland Cavaliers,105
Portland Trail Blazers,110,Denver Nuggets,104
Miami Heat,94,Detroit Pistons,88
San Antonio Spurs,93,Utah Jazz,116
Portland Trail Blazers,82,Dallas Mavericks,87
Los Angeles Lakers,109,Golden State Warriors,85
Houston Rockets,127,Los Angeles Clippers,117
Orlando Magic,97,Milwaukee Bucks,82
Miami Heat,94,New Jersey Nets,92
Cleveland Cavaliers,93,New York Knicks,73
Minnesota Timberwolves,107,Phoenix Suns,115
Vancouver Grizzlies,93,Sacramento Kings,109
Denver Nuggets,90,San Antonio Spurs,96
Washington Bullets,94,Toronto Raptors,100
Boston Celtics,111,Charlotte Hornets,136
Chicago Bulls,86,Indiana Pacers,80
Atlanta Hawks,116,Philadelphia 76ers,101
Los Angeles Lakers,89,Utah Jazz,101
Seattle SuperSonics,90,Dallas Mavericks,82
Denver Nuggets,107,Golden State Warriors,109
Vancouver Grizzlies,94,Houston Rockets,102
Minnesota Timberwolves,108,Los Angeles Clippers,96
Detroit Pistons,83,Miami Heat,93
Milwaukee Bucks,88,New Jersey Nets,93
Chicago Bulls,105,New York Knicks,103
Phoenix Suns,101,Sacramento Kings,99
Portland Trail Blazers,98,San Antonio Spurs,81
Orlando Magic,105,Toronto Raptors,69
Cleveland Cavaliers,101,Boston Celtics,103
Charlotte Hornets,93,Detroit Pistons,85
Atlanta Hawks,104,Indiana Pacers,92
Phoenix Suns,98,Los Angeles Lakers,114
Philadelphia 76ers,118,Milwaukee Bucks,126
Golden State Warriors,87,Sacramento Kings,97
Houston Rockets,83,Utah Jazz,104
New Jersey Nets,90,Washington Bullets,109
Washington Bullets,97,Charlotte Hornets,99
Philadelphia 76ers,118,Cleveland Cavaliers,125
Vancouver Grizzlies,96,Dallas Mavericks,85
Denver Nuggets,94,Los Angeles Clippers,116
